,Location,Area,Security,Bedrooms,Price
238,East Marredpally,1800,0,3,12000000
239,Mallampet,1105,0,2,4641000
240,Mallampet,1105,0,2,4641000
241,Mallampet,1105,0,2,4641000
242,Banjara Hills,1980,0,3,18500000
243,Hitech City,1150,0,2,8600000
244,Manikonda,1415,0,3,6800000
245,Kukatpally,1730,0,3,11100000
246,Aminpur,1100,0,2,4400000
247,Aminpur,1100,0,2,4400000
248,Aminpur,1100,0,2,4400000
249,Aminpur,1100,0,2,4400000
250,Aminpur,1100,0,2,4400000
251,Aminpur,1100,0,2,4400000
252,Aminpur,1100,0,2,4400000
253,Aminpur,1100,0,2,4400000
254,Aminpur,1100,0,2,4400000
255,Aminpur,1100,0,2,4400000
256,Mallampet,1105,0,2,4641000
257,Aminpur,1100,0,2,4400000
258,Mallampet,1105,0,2,4641000
259,Mallampet,1105,0,2,4641000
260,Mallampet,1105,0,2,4641000
261,Mallampet,1105,0,2,4641000
262,Mallampet,1105,0,2,4641000
263,Kondapur,1165,1,2,7847000
264,Aminpur,1100,0,2,4400000
265,Kondapur,1535,1,3,10000000
266,Aminpur,1110,0,2,4400000
267,Mallampet,1105,0,2,4641000
268,Tellapur,2240,1,3,9900000
269,Manikonda,1278,0,2,6500000
270,Attapur,1406,0,3,7500000
271,Mallapur,1190,0,2,6500000
272,Pragathi Nagar Kukatpally,1215,0,2,5300000
273,Mallampet,1105,0,2,4641000
274,Hitech City,1150,0,2,8600000
275,Mallampet,1105,0,2,4641000
276,Mallampet,1105,0,2,4641000
277,Kondapur,1770,1,3,10700000
278,Alwal,1210,0,2,4840000
279,Gajularamaram,1010,0,2,4542000
280,Serilingampally,1620,0,3,8100000
281,Gajularamaram,1555,0,3,6931000
282,Kukatpally,1190,0,2,7098999
283,Kukatpally,1730,0,3,11100000
284,Kondapur,1165,1,2,7240000
285,East Marredpally,1670,0,3,10000000
286,Hitech City,1350,1,3,13000000
287,other,4780,0,4,43000000
288,Serilingampally,1836,0,3,8900000
289,West Marredpally,1970,0,3,15000000
290,West Marredpally,1970,0,3,15000000
291,Kukatpally,2000,1,3,12000000
292,Kukatpally,2000,1,3,12000000
293,Kukatpally,2000,1,3,12000000
294,Kukatpally,2000,1,3,12000000
295,Kukatpally,2000,1,3,12000000
296,Kukatpally,2000,1,3,12000000
297,Kondapur,1210,1,2,7744000
298,Kondapur,1535,1,3,9760000
299,Kondapur,1315,1,2,8500000
300,other,680,0,1,2500000
301,Malkajgiri,1200,0,2,8200000
302,Malkajgiri,1200,0,2,8200000
303,Malkajgiri,1200,0,2,8200000
304,Malkajgiri,1200,0,2,8200000
